CompanyName,ISIN,NSECode,BSECode,Date,MFList,BTTDate,CompanyCode
Dr. Lal Pathlabs Ltd.,INE600L01024,LALPATHLAB,539524,2020-02-03,False,2020-02-03,16550403.000000
Dr. Reddy's Laboratories Ltd.,INE089A01023,DRREDDY,500124,2020-02-03,False,2020-02-03,12540015.000000
EID Parry (India) Ltd.,INE126A01031,EIDPARRY,500125,2020-02-03,False,2020-02-03,12100003.000000
EIH Ltd.,INE230A01023,EIHOTEL,500840,2020-02-03,False,2020-02-03,16560002.000000
EPL Ltd.,INE255A01020,EPL,500135,2020-02-03,False,2020-02-03,14590005.000000
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200,2020-02-03,False,2020-02-03,10510004.000000
Elgi Equipments Ltd.,INE285A01027,ELGIEQUIP,522074,2020-02-03,False,2020-02-03,13610005.000000
Emami Ltd.,INE548C01032,EMAMILTD,531162,2020-02-03,False,2020-02-03,12520109.000000
Endurance Technologies Ltd.,INE913H01037,ENDURANCE,540153,2020-02-03,False,2020-02-03,13191641.000000
Engineers India Ltd.,INE510A01028,ENGINERSIN,532178,2020-02-03,False,2020-02-03,16690002.000000
Eris Lifesciences Ltd.,INE406M01024,ERIS,540596,2020-02-03,False,2020-02-03,12541321.000000
Escorts Kubota Ltd.,INE042A01014,ESCORTS,500495,2020-02-03,False,2020-02-03,10540004.000000
Exide Industries Ltd.,INE302A01020,EXIDEIND,500086,2020-02-03,False,2020-02-03,10550001.000000
FDC Ltd.,INE258B01022,FDC,531599,2020-02-03,False,2020-02-03,12540116.000000
Federal Bank Ltd.,INE171A01029,FEDERALBNK,500469,2020-02-03,False,2020-02-03,14030062.000000
The Fertilisers and Chemicals Travancore Ltd.,INE188A01015,FACT,590024,2020-02-03,False,2020-02-03,12100017.000000
Fine Organic Industries Ltd.,INE686Y01026,FINEORG,541557,2020-02-03,False,2020-02-03,12070173.000000
Finolex Cables Ltd.,INE235A01022,FINCABLES,500144,2020-02-03,False,2020-02-03,15060001.000000
Finolex Industries Ltd.,INE183A01024,FINPIPE,500940,2020-02-03,False,2020-02-03,12190003.000000
Firstsource Solutions Ltd.,INE684F01012,FSL,532809,2020-02-03,False,2020-02-03,14010399.000000
Fortis Healthcare Ltd.,INE061F01013,FORTIS,532843,2020-02-03,False,2020-02-03,12540511.000000
GAIL (India) Ltd.,INE129A01019,GAIL,532155,2020-02-03,False,2020-02-03,15120010.000000
GMM Pfaudler Ltd.,INE541A01023,GMMPFAUDLR,505255,2020-02-03,False,2020-02-03,13510006.000000
GMR Airports Infrastructure Ltd.,INE776C01039,GMRINFRA,532754,2020-02-03,False,2020-02-03,15210029.000000
Galaxy Surfactants Ltd.,INE600K01018,GALAXYSURF,540935,2020-02-03,False,2020-02-03,12010007.000000
General Insurance Corporation of India,INE481Y01014,GICRE,540755,2020-02-03,False,2020-02-03,12052001.000000
Gillette India Ltd.,INE322A01010,GILLETTE,507815,2020-02-03,False,2020-02-03,12520003.000000
GlaxoSmithKline Pharmaceuticals Ltd.,INE159A01016,GLAXO,500660,2020-02-03,False,2020-02-03,12540022.000000
Glenmark Pharmaceuticals Ltd.,INE935A01035,GLENMARK,532296,2020-02-03,False,2020-02-03,12540399.000000
Godawari Power & Ispat Ltd.,INE177H01021,GPIL,532734,2020-02-03,False,2020-02-03,17010086.000000
Godfrey Phillips India Ltd.,INE260B01028,GODFRYPHLP,500163,2020-02-03,False,2020-02-03,12630002.000000
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,532424,2020-02-03,False,2020-02-03,12520118.000000
Godrej Industries Ltd.,INE233A01035,GODREJIND,500164,2020-02-03,False,2020-02-03,12520018.000000
Godrej Properties Ltd.,INE484J01027,GODREJPROP,533150,2020-02-03,False,2020-02-03,12520018.050000
Granules India Ltd.,INE101D01020,GRANULES,532482,2020-02-03,False,2020-02-03,12540301.000000
Graphite India Ltd.,INE371A01025,GRAPHITE,509488,2020-02-03,False,2020-02-03,13580002.000000
Grasim Industries Ltd.,INE047A01021,GRASIM,500300,2020-02-03,False,2020-02-03,17010006.000000
Great Eastern Shipping Company Ltd.,INE017A01032,GESHIP,500620,2020-02-03,False,2020-02-03,16580004.000000
Grindwell Norton Ltd.,INE536A01023,GRINDWELL,506076,2020-02-03,False,2020-02-03,14550003.000000
Gujarat Alkalies & Chemicals Ltd.,INE186A01019,GUJALKALI,530001,2020-02-03,False,2020-02-03,12090004.000000
Gujarat Ambuja Exports Ltd.,INE036B01030,GAEL,524226,2020-02-03,False,2020-02-03,11070045.000000
Gujarat Fluorochemicals Ltd.,INE09N301011,FLUOROCHEM,542812,2020-02-03,False,2020-02-03,12060127.000000
Gujarat Gas Ltd.,INE844O01030,GUJGASLTD,539336,2020-02-03,False,2020-02-03,17152816.000000
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,INE113A01013,GNFC,500670,2020-02-03,False,2020-02-03,12100005.000000
Gujarat Pipavav Port Ltd.,INE517F01014,GPPL,533248,2020-02-03,False,2020-02-03,16680010.000000
Gujarat State Fertilizer & Chemicals Ltd.,INE026A01025,GSFC,500690,2020-02-03,False,2020-02-03,12100006.000000
Gujarat State Petronet Ltd.,INE246F01010,GSPL,532702,2020-02-03,False,2020-02-03,12140048.000000
HEG Ltd.,INE545A01016,HEG,509631,2020-02-03,False,2020-02-03,13580005.000000
HCL Technologies Ltd.,INE860A01027,HCLTECH,532281,2020-02-03,False,2020-02-03,13020101.000000
HDFC Asset Management Company Ltd.,INE127D01025,HDFCAMC,541729,2020-02-03,False,2020-02-03,14050596.000000
