Company,ISIN,NSECode,BSECode,Date,MFList
Hindalco Industries Ltd.,INE038A01020,HINDALCO,500440.000000,2024-02-01,False
Hindustan Aeronautics Ltd.,INE066F01020,HAL,541154.000000,2024-02-01,False
Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,513599.000000,2024-02-01,False
Hindustan Petroleum Corporation Ltd.,INE094A01015,HINDPETRO,500104.000000,2024-02-01,False
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,500696.000000,2024-02-01,False
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,500188.000000,2024-02-01,False
Hitachi Energy India Ltd.,INE07Y701011,POWERINDIA,543187.000000,2024-02-01,False
Home First Finance Company India Ltd.,INE481N01025,HOMEFIRST,543259.000000,2024-02-01,False
Honeywell Automation India Ltd.,INE671A01010,HONAUT,517174.000000,2024-02-01,False
Housing & Urban Development Corporation Ltd.,INE031A01017,HUDCO,540530.000000,2024-02-01,False
ICICI Bank Ltd.,INE090A01021,ICICIBANK,532174.000000,2024-02-01,False
ICICI Lombard General Insurance Company Ltd.,INE765G01017,ICICIGI,540716.000000,2024-02-01,False
ICICI Prudential Life Insurance Company Ltd.,INE726G01019,ICICIPRULI,540133.000000,2024-02-01,False
ICICI Securities Ltd.,INE763G01038,ISEC,541179.000000,2024-02-01,False
IDBI Bank Ltd.,INE008A01015,IDBI,500116.000000,2024-02-01,False
IDFC First Bank Ltd.,INE092T01019,IDFCFIRSTB,539437.000000,2024-02-01,False
IDFC Ltd.,INE043D01016,IDFC,532659.000000,2024-02-01,False
IIFL Finance Ltd.,INE530B01024,IIFL,532636.000000,2024-02-01,False
IRB Infrastructure Developers Ltd.,INE821I01022,IRB,532947.000000,2024-02-01,False
IRCON International Ltd.,INE962Y01021,IRCON,541956.000000,2024-02-01,False
ITC Ltd.,INE154A01025,ITC,500875.000000,2024-02-01,False
ITI Ltd.,INE248A01017,ITI,523610.000000,2024-02-01,False
India Cements Ltd.,INE383A01012,INDIACEM,530005.000000,2024-02-01,False
Indiabulls Housing Finance Ltd.,INE148I01020,IBULHSGFIN,535789.000000,2024-02-01,False
Indiamart Intermesh Ltd.,INE933S01016,INDIAMART,542726.000000,2024-02-01,False
Indian Bank,INE562A01011,INDIANB,532814.000000,2024-02-01,False
Indian Energy Exchange Ltd.,INE022Q01020,IEX,540750.000000,2024-02-01,False
Indian Hotels Co. Ltd.,INE053A01029,INDHOTEL,500850.000000,2024-02-01,False
Indian Oil Corporation Ltd.,INE242A01010,IOC,530965.000000,2024-02-01,False
Indian Overseas Bank,INE565A01014,IOB,532388.000000,2024-02-01,False
Indian Railway Catering And Tourism Corporation Ltd.,INE335Y01020,IRCTC,542830.000000,2024-02-01,False
Indian Railway Finance Corporation Ltd.,INE053F01010,IRFC,543257.000000,2024-02-01,False
Indigo Paints Ltd.,INE09VQ01012,INDIGOPNTS,543258.000000,2024-02-01,False
Indraprastha Gas Ltd.,INE203G01027,IGL,532514.000000,2024-02-01,False
Indus Towers Ltd.,INE121J01017,INDUSTOWER,534816.000000,2024-02-01,False
IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,532187.000000,2024-02-01,False
Infibeam Avenues Ltd.,INE483S01020,INFIBEAM,539807.000000,2024-02-01,False
Info Edge (India) Ltd.,INE663F01024,NAUKRI,532777.000000,2024-02-01,False
Infosys Ltd.,INE009A01021,INFY,500209.000000,2024-02-01,False
Ingersoll Rand (India) Ltd.,INE177A01018,INGERRAND,500210.000000,2024-02-01,False
Intellect Design Arena Ltd.,INE306R01017,INTELLECT,538835.000000,2024-02-01,False
InterGlobe Aviation Ltd.,INE646L01027,INDIGO,539448.000000,2024-02-01,False
Ipca Laboratories Ltd.,INE571A01038,IPCALAB,524494.000000,2024-02-01,False
J.B. Chemicals & Pharmaceuticals Ltd.,INE572A01036,JBCHEPHARM,506943.000000,2024-02-01,False
J.K. Cement Ltd.,INE823G01014,JKCEMENT,532644.000000,2024-02-01,False
JBM Auto Ltd.,INE927D01044,JBMA,532605.000000,2024-02-01,False
JK Lakshmi Cement Ltd.,INE786A01032,JKLAKSHMI,500380.000000,2024-02-01,False
JK Paper Ltd.,INE789E01012,JKPAPER,532162.000000,2024-02-01,False
JM Financial Ltd.,INE780C01023,JMFINANCIL,523405.000000,2024-02-01,False
JSW Energy Ltd.,INE121E01018,JSWENERGY,533148.000000,2024-02-01,False
JSW Steel Ltd.,INE019A01038,JSWSTEEL,500228.000000,2024-02-01,False
Jamna Auto Industries Ltd.,INE039C01032,JAMNAAUTO,520051.000000,2024-02-01,False
Jindal Saw Ltd.,INE324A01024,JINDALSAW,500378.000000,2024-02-01,False
Jindal Stainless Ltd.,INE220G01021,JSL,532508.000000,2024-02-01,False
Jindal Steel & Power Ltd.,INE749A01030,JINDALSTEL,532286.000000,2024-02-01,False
Jubilant Foodworks Ltd.,INE797F01020,JUBLFOOD,533155.000000,2024-02-01,False
