CompanyName,ISIN,NSECode,BSECode,Date,MFList,CompanyCode,BTTDate
Data Patterns (India) Ltd.,INE0IX101010,DATAPATTNS,543428.000000,2024-02-01,True,17150834.000000,2024-02-01
Deepak Fertilisers & Petrochemicals Corporation Ltd.,INE501A01019,DEEPAKFERT,500645.000000,2024-02-01,True,12100002.000000,2024-02-01
Deepak Nitrite Ltd.,INE288B01029,DEEPAKNTR,506401.000000,2024-02-01,True,12080004.000000,2024-02-01
Delhivery Ltd.,INE148O01028,DELHIVERY,543529.000000,2024-02-01,True,17160358.000000,2024-02-01
Delta Corp Ltd.,INE124G01033,DELTACORP,532848.000000,2024-02-01,True,15060001.010000,2024-02-01
Devyani International Ltd.,INE872J01023,DEVYANI,543330.000000,2024-02-01,True,11290239.000000,2024-02-01
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,532488.000000,2024-02-01,True,12540408.000000,2024-02-01
Dixon Technologies (India) Ltd.,INE935N01020,DIXON,540699.000000,2024-02-01,True,12680028.000000,2024-02-01
Dr. Lal Pathlabs Ltd.,INE600L01024,LALPATHLAB,539524.000000,2024-02-01,True,16550403.000000,2024-02-01
Dr. Reddy's Laboratories Ltd.,INE089A01023,DRREDDY,500124.000000,2024-02-01,True,12540015.000000,2024-02-01
EID Parry (India) Ltd.,INE126A01031,EIDPARRY,500125.000000,2024-02-01,True,12100003.000000,2024-02-01
EIH Ltd.,INE230A01023,EIHOTEL,500840.000000,2024-02-01,True,16560002.000000,2024-02-01
EPL Ltd.,INE255A01020,EPL,500135.000000,2024-02-01,True,14590005.000000,2024-02-01
Easy Trip Planners Ltd.,INE07O001026,EASEMYTRIP,543272.000000,2024-02-01,True,17090175.000000,2024-02-01
Eicher Motors Ltd.,INE066A01021,EICHERMOT,505200.000000,2024-02-01,True,10510004.000000,2024-02-01
Elgi Equipments Ltd.,INE285A01027,ELGIEQUIP,522074.000000,2024-02-01,True,13610005.000000,2024-02-01
Emami Ltd.,INE548C01032,EMAMILTD,531162.000000,2024-02-01,True,12520109.000000,2024-02-01
Endurance Technologies Ltd.,INE913H01037,ENDURANCE,540153.000000,2024-02-01,True,13191641.000000,2024-02-01
Engineers India Ltd.,INE510A01028,ENGINERSIN,532178.000000,2024-02-01,True,16690002.000000,2024-02-01
Epigral Ltd.,INE071N01016,EPIGRAL,543332.000000,2024-02-01,True,12120068.000000,2024-02-01
