CompanyCode,CompanyName,ShortCompanyName,TickerName,ParentCompanyCode,PersonDescription,PersonName,ExecutiveDescription,ExecutiveName,BSECode,BSEGroup,NSECode,ISINCode,Sourcetype,IncorporationDate,FirstPublicIssueDate,Auditeddate,FaceValue,Marketlot,IndustryCode,IndustryName,BusinessGroupCode,BusinessGroupName,MajorSector,latestFinYear,ForemostFinYear,LatestHalfYear,ForemostHalfYear,LatestQtrYear,ForemostQtrYear,ModifiedDate
16030156.0,Sybly Industries Ltd.,Sybly Industries Ltd,Sybly Indus,0.0,Mr.,Nishant Mittal,Mr.,Sagar Agarwal,531499.0,X,,INE080D01042,A,1988-05-02,1995-12-13,,10.0,1.0,603,Textiles - Spinning - Cotton Blended,10514,Not Applicable,1,2103,9703,2203,9503,2206.0,9706.0,2022-08-01 07:20:04
16040081.0,Sarla Performance Fibers Ltd.,Sarla Performance Fi,Sarla Polyst,0.0,Mr.,Krishnakumar M Jhunjhunwala,Mr.,Mahendra Sheth,526885.0,B,SARLAPOLY,INE453D01025,A,1993-11-25,1995-02-15,,1.0,1.0,602,Textiles - Processing/Texturising,10514,Not Applicable,1,2103,9403,2203,9503,2206.0,9806.0,2022-08-01 07:20:04
16060021.0,Oswal Yarns Ltd.,Oswal Yarns Limi,Oswal Yarns,0.0,Mr.,Tej Paul Oswal,,,514460.0,XT,,INE670H01017,A,1982-06-16,1994-09-28,,10.0,1.0,649,Textiles - General,10109,Oswal Group,1,2103,9403,2203,9403,2206.0,9706.0,2022-08-01 07:20:04
16090049.0,Bhageria Industries Ltd.,Bhageria Industries,Bhageria Dye,0.0,Mr.,Suresh Bhageria,Mr.,Krunal Wala,530803.0,B,BHAGERIA,INE354C01027,A,1989-07-12,1995-05-02,,5.0,1.0,609,Dyes & Pigments,10514,Not Applicable,1,2203,9403,2203,9506,2206.0,9806.0,2022-08-01 07:20:04
16510003.0,N B Footwear Ltd.,N B Footwear Ltd,NB Footwear,0.0,Mr.,Kannan A Yadav,Mr.,S KRishnan,523242.0,P,,INE006F01018,A,1987-09-24,,,10.0,100.0,651,Leather/Synthetic Products,10514,Not Applicable,1,2103,8903,2203,8909,2206.0,9706.0,2022-08-01 07:20:04
16510018.0,Tinna Rubber and Infrastructure Ltd.,Tinna Rubber and Inf,TinnaOvrseas,0.0,Mr.,Bhupinder Kumar Sekhri,Mr.,Vaibhav Pandey,530475.0,X,,INE015C01016,A,1987-03-04,1995-03-20,,10.0,1.0,461,Rubber Processing/Rubber Products,10514,Not Applicable,1,2203,9503,2203,9403,2206.0,9706.0,2022-08-01 07:20:04
16510042.0,Metro Brands Ltd.,Metro Brands,Metro Brands,0.0,Ms.,Farah Malik Bhanji,Ms.,Tarannum Bhanpurwala,543426.0,B,METROBRAND,INE317I01021,A,1977-01-19,2021-12-10,2021-06-25,5.0,1.0,651,Leather/Synthetic Products,10514,Not Applicable,1,2103,703,2203,1203,2206.0,2012.0,2022-08-01 07:20:04
16530106.0,Coral Newsprints Ltd.,Coral Newsprints,CoralNewsprt,0.0,Mr.,Pushpendra P S Chauhan,Ms.,Priyanka,530755.0,XT,,INE715D01019,A,1992-04-21,1995-04-26,,10.0,1.0,653,Paper & Paper Products,10514,Not Applicable,1,2103,9403,2203,9409,2206.0,9906.0,2022-08-01 07:20:04
16530141.0,N R Agarwal Industries Ltd.,N R Agarwal Indu,NR AgrwlInds,0.0,Mr.,R N Agarwal,Ms.,Pooja Daftary,516082.0,B,NRAIL,INE740D01017,A,1993-12-08,,,10.0,1.0,653,Paper & Paper Products,10514,Not Applicable,1,2103,9403,2203,9603,2206.0,9706.0,2022-08-01 07:20:04
16530147.0,Simplex Papers Ltd.,Simplex Papers Ltd.,Simplex Pap,0.0,,,,,533019.0,X,,INE456H01011,A,1994-05-03,,,10.0,1.0,653,Paper & Paper Products,11358,Simplex Group,1,2203,3,2203,503,2206.0,806.0,2022-08-01 07:20:04
